KEY;SL;Record_Detail_Level;Metodologia;Horas;Horas PMO;;;;;;;;;;;;;;
BHT | L4 | BTI008 - Brand&Comms Track w. intg data;BHT;L4;BTI008 - Brand&Comms Track w. intg data;10;;;;;;;;;;;;;;;
BHT | L5 | BTI008 - Brand&Comms Track w. intg data;BHT;L5;BTI008 - Brand&Comms Track w. intg data;10;;;;;;;;;;;;;;;
BHT | L6 | BTI008 - Brand&Comms Track w. intg data;BHT;L6;BTI008 - Brand&Comms Track w. intg data;10;;;;;;;;;;;;;;;
BHT | L7 | BTI008 - Brand&Comms Track w. intg data;BHT;L7;BTI008 - Brand&Comms Track w. intg data;10;;;;;;;;;;;;;;;
BHT | L4 | BTT001 - Brand & Comms Tracking;BHT;L4;BTT001 - Brand & Comms Tracking;15;;;;;;;;;;;;;;;
BHT | L5 | BTT001 - Brand & Comms Tracking;BHT;L5;BTT001 - Brand & Comms Tracking;15;;;;;;;;;;;;;;;
BHT | L6 | BTT001 - Brand & Comms Tracking;BHT;L6;BTT001 - Brand & Comms Tracking;15;;;;;;;;;;;;;;;
BHT | L7 | BTT001 - Brand & Comms Tracking;BHT;L7;BTT001 - Brand & Comms Tracking;15;;;;;;;;;;;;;;;
BHT | L4 | BTT002 - Brand Tracking;BHT;L4;BTT002 - Brand Tracking;20;;;;;;;;;;;;;;;
BHT | L5 | BTT002 - Brand Tracking;BHT;L5;BTT002 - Brand Tracking;20;;;;;;;;;;;;;;;
BHT | L6 | BTT002 - Brand Tracking;BHT;L6;BTT002 - Brand Tracking;20;;;;;;;;;;;;;;;
BHT | L7 | BTT002 - Brand Tracking;BHT;L7;BTT002 - Brand Tracking;20;;;;;;;;;;;;;;;
BHT | L4 | BTT010 - Contextual Brand Tracking;BHT;L4;BTT010 - Contextual Brand Tracking;30;;;;;;;;;;;;;;;
BHT | L5 | BTT010 - Contextual Brand Tracking;BHT;L5;BTT010 - Contextual Brand Tracking;30;;;;;;;;;;;;;;;
BHT | L6 | BTT010 - Contextual Brand Tracking;BHT;L6;BTT010 - Contextual Brand Tracking;30;;;;;;;;;;;;;;;
BHT | L7 | BTT010 - Contextual Brand Tracking;BHT;L7;BTT010 - Contextual Brand Tracking;30;;;;;;;;;;;;;;;
OBS | L4 | ADHOC;OBS;L4;ADHOC;30;;;;;;;;;;;;;;;
OBS | L5 | ADHOC;OBS;L5;ADHOC;30;;;;;;;;;;;;;;;
OBS | L6 | ADHOC;OBS;L6;ADHOC;30;;;;;;;;;;;;;;;
OBS | L7 | ADHOC;OBS;L7;ADHOC;30;;;;;;;;;;;;;;;
OBS | L4 | INTERNACIONAL;OBS;L4;INTERNACIONAL;30;;;;;;;;;;;;;;;
OBS | L5 | INTERNACIONAL;OBS;L5;INTERNACIONAL;30;;;;;;;;;;;;;;;
OBS | L6 | INTERNACIONAL;OBS;L6;INTERNACIONAL;30;;;;;;;;;;;;;;;
OBS | L7 | INTERNACIONAL;OBS;L7;INTERNACIONAL;30;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
