BI;sp_TransferiListaJob
dbo;IQ_AjusteCostoOperacionesMasivo
dbo;IQ_AjusteCostoOperacionesObtenerDatos
dbo;IQ_AlternativasPorPropuesta
dbo;IQ_AsignacionJBE_ProyectosCuali
dbo;IQ_AsignarJobBookInterno_GOP
dbo;IQ_BorrarAlternativa
dbo;IQ_BorrarCUPresupuesto-DATOSGRALES
dbo;IQ_BorrarMuestra
dbo;IQ_BorrarPresupuesto
dbo;IQ_BorrarPresupuestoMasivo
dbo;IQ_BorrarPresupuestoMasivoMigracion
dbo;IQ_BorrarProcesos
dbo;IQ_BorrarValorMistery
dbo;IQ_CalculoGeneralDiasCampo
dbo;IQ_CalculoProfessionalTime
dbo;IQ_CalculoProfessionalTime_ValorVenta
dbo;IQ_CalculoPyG
dbo;IQ_CalculosOPS_ToIQuote
dbo;IQ_CambiosJobBook_WORK
dbo;IQ_CARACARACostosDirectos
dbo;IQ_CARACARACostosDirectosRecalculo
dbo;IQ_CARACARAProductividad
dbo;IQ_CATICostosDirectos
dbo;IQ_CATIProductividad
dbo;IQ_CopiarUnPresupuesto
dbo;IQ_CopiarUnPresupuestoConFase
dbo;IQ_COSTO_ObraLabor
dbo;IQ_COSTO_PrestacionServicios
dbo;IQ_COSTOACTIVIDADES_GET_TO_IQUOTE
dbo;IQ_CostoOperacionJBI
dbo;IQ_CostosJobBookExterno
dbo;IQ_CostosJobBookExternoObserver
dbo;IQ_CostosJobBookExternoTotales
dbo;IQ_CostosJobBookInterno
dbo;IQ_CostosJobBookInternoTotales
dbo;IQ_CualiCostosAnexos
dbo;IQ_CUALICostosDirectos
dbo;IQ_CualiCostosReclutamiento
dbo;IQ_Cuantitativos
dbo;IQ_DiasDeCampo
dbo;IQ_DiasDeCampoMigracion
dbo;IQ_DistribuirMuestra
dbo;IQ_DistribuirMuestra_WORK
dbo;IQ_DuplicarAlternativa
dbo;IQ_DuplicarAlternativaCopiaRecalculo
dbo;IQ_DuplicarAlternativaToPropuesta
dbo;IQ_DuplicarParaRecalcular
dbo;IQ_EliminarTablasCAP
dbo;IQ_ENTREVISTASCostosDirectos
dbo;IQ_F4423
dbo;IQ_F4428
dbo;IQ_F5301
dbo;IQ_F5304
dbo;IQ_F5306
dbo;IQ_F5400_01_02
dbo;IQ_F5401_02
dbo;IQ_F5403
dbo;IQ_F5409
dbo;IQ_F5410_11_12
dbo;IQ_F5415
dbo;IQ_F5415_16_17
dbo;IQ_F5418_19_20
dbo;IQ_F5430
dbo;IQ_F5431
dbo;IQ_F5433
dbo;IQ_F5434
dbo;IQ_F5440
dbo;IQ_F5470
dbo;IQ_F5472
dbo;IQ_F5489
dbo;IQ_F5494
dbo;IQ_F5503
dbo;IQ_F5504
dbo;IQ_F5506
dbo;IQ_F5601
dbo;IQ_F5602
dbo;IQ_F5701
dbo;IQ_F5705
dbo;IQ_F5710
dbo;IQ_F5720
dbo;IQ_F6305
dbo;IQ_F6587
dbo;IQ_F8000
dbo;IQ_F8001
dbo;IQ_F8002
dbo;IQ_F8005
dbo;IQ_F8008
dbo;IQ_F8010
dbo;IQ_F8020
dbo;IQ_F8050
dbo;IQ_F8060
dbo;IQ_F8070
dbo;IQ_F850
dbo;IQ_F9997
dbo;IQ_FasesDisponiblesPorAlternativa
dbo;IQ_InsertarMuestra_WORK
dbo;IQ_JBARecalcular
dbo;IQ_JBARecalcularActualizarObservaciones
dbo;IQ_JBARecalcularCATI6587
dbo;IQ_JBARecalcularCrearLista
dbo;IQ_JBARecalcularGMOps
dbo;IQ_JBARecalcularScriptingHoras
dbo;IQ_LogCambiosJBI_Add
dbo;IQ_MensualizacionTrackings
dbo;IQ_MigracionCAPMasiva
dbo;IQ_MigracionCAPMasivaMigracion
dbo;IQ_MigracionCAPMigracion
dbo;IQ_MigracionManejoRevisadoAprobado
dbo;IQ_MigracionMarcarRevisado
dbo;IQ_MuestraInfoTrabajo
dbo;IQ_MuestraPorDificultad
dbo;IQ_ObtenerActControlCostos
dbo;IQ_ObtenerActCostosAutorizados
dbo;IQ_ObtenerActividades
dbo;IQ_ObtenerAlternativa
dbo;IQ_ObtenerAnalisisEstadisticos
dbo;IQ_ObtenerCargos
dbo;IQ_ObtenerCiudades
dbo;IQ_ObtenerCiudadesMuestra
dbo;IQ_ObtenerCiudadesMuestraGeneral
dbo;IQ_ObtenerControlCostosAutorizados
dbo;IQ_ObtenerCostoActividades
dbo;IQ_ObtenerDatosPropuesta
dbo;IQ_ObtenerDepartamentos
dbo;IQ_ObtenerDescPresupuesto
dbo;IQ_ObtenerFases
dbo;IQ_ObtenerFasesJB
dbo;IQ_ObtenerHistorialPreguntas
dbo;IQ_ObtenerHorasProfesionales
dbo;IQ_ObtenerHorasProfesionalesXAlternativa
dbo;IQ_ObtenerMetodologias
dbo;IQ_ObtenerMuestraCati
dbo;IQ_ObtenerMuestraCatiShow
dbo;IQ_ObtenerMuestraF2F
dbo;IQ_ObtenerMuestraOnLine
dbo;IQ_ObtenerMuestraOnLineShow
dbo;IQ_ObtenerMuestraXCiudad
dbo;IQ_ObtenerMuestraXCiudadCaraCara
dbo;IQ_ObtenerMuestraXCiudadCaraCaraShow
dbo;IQ_ObtenerNacionales
dbo;IQ_ObtenerNumAsistentes
